pattern_id	w0	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	w12	w13	w14	w15	w16	w17	w18	w19	w20	w21	w22	w23	w24	w25	w26	w27	w28	w29	w30	w31	query
p204779	0.02960	-0.00831	-0.00820	-0.00562	-0.00513	-0.00577	0.00263	-0.00744	0.00542	-0.00229	-0.00684	0.00495	0.00696	-0.00558	0.00727	-0.01833	-0.00523	-0.00011	0.01471	-0.01262	0.01314	-0.00542	-0.00297	-0.00850	-0.00962	-0.00809	0.01194	-0.01663	0.00178	0.00863	-0.00197	-0.01468	(Might $e0)
p204780	-0.00657	-0.00723	0.00283	-0.00601	-0.00394	-0.00386	0.00715	0.00828	-0.00600	-0.00144	-0.00545	0.00014	-0.00207	0.00225	0.00399	-0.01485	0.01192	0.00655	0.00111	-0.00398	-0.00968	0.00593	-0.00223	-0.00390	-0.00950	-0.00146	-0.00878	0.00686	0.00217	-0.00824	-0.00932	0.00742	(Permitted $e0)
p204781	0.05307	-0.00109	-0.01747	0.04613	0.04885	0.10963	-0.05299	0.03718	-0.16728	0.05752	-0.09918	-0.06631	0.05734	-0.02032	-0.03476	0.01007	0.07922	-0.04256	-0.09305	-0.02193	-0.08446	-0.08034	-0.06585	0.06324	-0.05342	-0.09545	0.03571	0.06994	0.03622	0.02371	-0.02075	0.12469	(Possession $x0 free_soil_party)
p204782	0.05307	-0.00109	-0.01747	0.04613	0.04885	0.10963	-0.05299	0.03718	-0.16728	0.05752	-0.09918	-0.06631	0.05734	-0.02032	-0.03476	0.01007	0.07922	-0.04256	-0.09305	-0.02193	-0.08446	-0.08034	-0.06585	0.06324	-0.05342	-0.09545	0.03571	0.06994	0.03622	0.02371	-0.02075	0.12469	(Possession $x0 republican_party)
p204783	0.00624	0.01623	0.03177	0.00005	-0.00859	-0.01381	-0.00981	0.02300	-0.00811	0.01434	-0.01190	0.00524	-0.00296	-0.00973	0.01281	0.00694	-0.00799	0.00369	0.00330	0.01419	-0.00490	-0.00882	-0.00449	0.02056	0.01129	-0.01411	-0.00307	-0.00054	0.01608	-0.00642	0.01522	-0.01754	(ProportionOf $x0 $x1 some)
p204784	-0.00324	-0.00012	0.00288	0.00961	-0.00613	-0.00088	0.00552	0.00116	-0.00488	-0.00231	-0.00433	-0.00512	0.00668	0.00427	-0.00047	-0.01616	0.01092	0.00976	-0.00459	-0.00513	-0.01088	-0.00719	-0.00917	-0.00563	-0.00779	0.00940	-0.00921	-0.00116	0.00597	-0.00532	-0.00474	-0.00456	(Time $e0 $x0)
p204785	0.00067	0.00090	-0.00646	0.00029	0.00016	-0.00381	0.00235	-0.00658	-0.00197	-0.00173	-0.00563	-0.00016	0.00442	0.00363	-0.00051	-0.00339	0.00450	-0.00618	0.00113	0.00155	-0.00184	0.00188	-0.00186	0.00080	-0.00297	0.00417	0.00128	-0.00038	0.00554	0.00173	0.00331	-0.00411	(Time $e0 later)
p204786	-0.00453	-0.01123	0.09020	0.09931	-0.07918	0.02381	0.01607	0.05857	0.02591	0.02199	-0.00691	0.01542	0.00736	0.03741	0.00070	-0.05937	0.01615	0.01182	-0.04398	0.04285	-0.04445	-0.06036	-0.03651	-0.02653	-0.02094	0.06047	-0.03523	-0.06439	0.03531	0.07814	0.02379	-0.06759	(Time $e0 this_year)
p204787	-0.00654	-0.01759	0.00206	-0.05408	0.14985	0.03279	-0.02482	-0.03469	-0.00695	-0.06290	-0.01610	-0.00023	-0.00453	-0.01626	-0.05979	-0.00779	-0.07986	0.04347	0.02507	-0.02128	-0.00401	-0.02279	-0.03640	0.06299	0.05550	0.01638	0.03218	-0.02240	-0.02272	-0.00863	0.01353	-0.03381	(Time $e0 tonight)
p204788	0.00924	-0.00585	0.00863	0.00978	-0.00746	-0.02123	0.00541	-0.00945	0.00155	-0.00778	-0.01059	-0.01245	-0.00405	-0.00098	-0.00160	0.00454	-0.00405	-0.00428	-0.01296	-0.03771	-0.03230	-0.02196	-0.00866	-0.00936	-0.01304	0.00193	-0.03322	-0.00525	-0.01245	-0.01145	0.00474	0.01033	(TimeAtLeast $e0 (Year <num>))
