pattern_id	w0	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	w12	w13	w14	w15	w16	w17	w18	w19	w20	w21	w22	w23	w24	w25	w26	w27	w28	w29	w30	w31	w32	w33	w34	w35	w36	w37	w38	w39	w40	w41	w42	w43	w44	w45	w46	w47	w48	w49	w50	w51	w52	w53	w54	w55	w56	w57	w58	w59	w60	w61	w62	w63	query
p204011	0.01651	-0.00811	0.01151	0.06889	-0.01535	-0.00907	-0.02955	0.01453	0.06732	-0.02313	-0.04200	-0.00414	-0.01670	0.01075	0.00142	-0.02412	0.01088	0.02016	-0.00424	0.03783	-0.03806	0.01190	-0.00235	-0.02371	-0.00750	0.02827	-0.05743	0.01362	0.01815	-0.01404	-0.03183	-0.00156	0.00242	-0.02319	0.03128	-0.01925	-0.04999	-0.02053	0.04391	0.00135	-0.01064	-0.02274	0.02176	-0.03384	-0.04679	0.02050	-0.00403	-0.04868	-0.03708	0.01347	-0.01098	-0.02244	-0.02164	-0.01727	-0.01568	0.00439	-0.03349	0.00254	0.02086	0.01739	0.05405	0.00300	0.01790	0.00797	(And (Member $e0 present) (Theme $e0 $x0))
p204012	0.01047	0.01759	0.02337	0.00482	-0.01554	-0.01732	0.00757	-0.01114	-0.01234	-0.01296	-0.00053	0.00306	0.02608	-0.01689	0.03403	-0.01821	0.03961	-0.01796	-0.03232	-0.00634	0.00295	-0.00287	-0.01039	-0.03186	-0.00473	-0.00216	0.00057	-0.01049	-0.01227	-0.02161	-0.00913	-0.02426	0.04257	-0.02305	-0.00096	0.00947	0.03873	-0.00745	0.00021	-0.00026	-0.00443	0.01089	0.01810	0.00714	0.02380	-0.02434	-0.01983	-0.00177	-0.01838	0.01474	-0.01092	0.00070	-0.01962	0.03512	-0.00440	-0.01358	0.00113	-0.00654	0.00454	-0.00638	-0.00330	0.01161	-0.02429	-0.01323	(And (Member $e0 read) (Theme $e0 $x0))
p204013	0.00269	0.07483	-0.07277	-0.06142	-0.04405	-0.05968	0.01596	0.07458	0.06074	0.02932	-0.04929	0.06052	-0.03588	0.03117	-0.01225	0.00172	-0.08024	-0.00382	-0.00684	0.02744	0.05212	0.03270	0.03597	0.03441	-0.00216	0.00738	-0.04199	-0.00575	-0.05336	-0.00503	0.06525	0.02997	-0.02607	0.07861	0.00262	-0.05965	-0.01420	-0.01239	-0.01806	0.00315	0.00236	0.00011	0.00120	-0.03520	-0.02432	0.06661	0.07602	-0.02035	-0.06576	-0.05499	0.10901	-0.02638	0.03832	0.00969	0.07853	0.00629	0.06782	-0.01401	-0.06410	0.06290	-0.03035	-0.04869	-0.01040	0.08289	(And (Member $e0 receive) (Theme $e0 $x0))
p204014	-0.00663	-0.02622	-0.01969	-0.08240	0.03425	0.02115	-0.00854	-0.00623	-0.02583	0.00225	0.00575	-0.01989	0.09034	0.03128	-0.00716	-0.03161	-0.01445	-0.04629	-0.01189	0.06710	0.07182	-0.00900	-0.02801	0.01255	0.00016	0.00177	0.00075	0.05940	-0.01117	-0.00548	0.00951	0.07789	0.04254	-0.02293	-0.00810	-0.01566	0.00596	-0.02014	-0.01231	0.00373	0.04843	-0.05731	0.02114	0.07243	-0.03667	0.06754	-0.01351	0.00101	0.07860	0.00255	-0.01503	-0.00199	-0.00420	0.00863	-0.00058	-0.05109	-0.05728	-0.02050	-0.00835	0.04219	-0.03726	0.00176	-0.02316	-0.03866	(And (Member $e0 run) (Past $e0))
p204015	0.00435	0.00838	0.06090	0.00582	0.01605	0.03718	-0.01358	0.04826	0.02643	0.00783	0.00151	-0.03416	-0.02849	-0.01869	0.00617	-0.03160	-0.00153	-0.02970	-0.02237	0.00043	-0.02710	0.00203	-0.00820	0.06667	0.06242	0.00783	-0.04920	-0.01353	-0.00457	-0.02562	-0.00848	0.00003	-0.02420	0.01245	0.02689	0.04890	-0.01195	-0.03006	-0.00926	-0.02401	0.01928	0.00753	0.02323	0.01877	-0.02873	-0.00851	-0.02851	-0.01615	-0.00462	0.00390	0.01390	-0.00705	0.02101	0.01943	-0.00920	0.00398	0.01685	0.01579	-0.02416	0.00061	-0.00783	0.02382	0.02319	-0.00757	(And (Member $e0 say) (Theme $e0 $x0))
p204016	-0.00162	0.00865	-0.00231	0.04948	0.00409	-0.02167	0.01238	-0.01473	0.01159	-0.01126	0.01696	-0.01822	-0.00841	0.00339	0.01188	-0.01819	-0.01753	-0.01304	-0.00880	-0.00057	-0.03960	-0.01352	0.00223	0.00941	-0.00343	-0.00684	-0.01409	0.00837	0.04113	-0.00072	-0.02319	-0.00704	0.00730	-0.01001	-0.00341	0.00709	0.02171	0.00219	0.03178	-0.00302	-0.00380	0.00716	-0.00471	-0.01930	-0.03230	-0.04346	-0.00256	-0.00340	0.01666	0.00932	0.00246	-0.02048	0.01700	-0.00028	-0.00719	0.00719	-0.01518	-0.00483	0.00215	0.01904	0.02666	-0.00269	0.00427	-0.01632	(And (Member $e0 sing) (Past $e0))
p204017	-0.00815	-0.01127	-0.01133	0.00506	0.00318	-0.00614	-0.00779	-0.02001	0.01654	0.00603	0.00937	0.00279	0.00304	0.00119	-0.01351	0.00775	-0.01303	-0.00091	0.06419	0.00640	-0.00040	-0.01011	-0.02868	-0.00565	-0.00400	-0.00042	-0.00241	0.01396	-0.01347	0.03091	0.00469	0.02421	-0.00277	-0.00884	0.00758	-0.01442	0.04198	0.00210	0.00703	0.07742	-0.01448	0.03286	-0.06070	-0.01400	0.00260	-0.00017	0.01414	0.00575	0.00696	-0.00238	0.00087	-0.00520	0.00394	0.09644	0.00124	-0.00024	-0.02108	-0.05863	-0.00010	0.00011	-0.04756	-0.00641	-0.03232	-0.00647	(And (Member $e0 solve) (Patient $e0 $x0))
p204018	-0.02610	-0.00448	0.05925	0.04621	-0.03926	-0.02264	-0.00612	-0.02696	0.00102	0.05523	-0.02225	0.04452	-0.03952	0.02190	0.03996	-0.03102	-0.04174	0.02322	-0.02341	0.04687	-0.03306	0.00842	-0.00898	-0.06689	-0.00015	-0.00314	-0.04392	-0.00097	0.03688	-0.03393	-0.01619	-0.01601	0.02716	-0.03845	0.04739	0.04665	0.11579	0.01667	-0.03450	-0.00127	0.05866	-0.04918	-0.02634	-0.04589	-0.03732	-0.07679	-0.02834	-0.02643	0.00004	0.05403	0.01636	0.03033	0.03569	0.03984	-0.00129	-0.03727	-0.01131	-0.03475	0.08398	0.04225	-0.09065	0.00449	-0.04120	-0.01363	(And (Member $e0 stand) (Ongoing $e0))
p204019	-0.00655	-0.04939	0.00727	-0.05159	-0.03659	-0.00906	0.01647	0.00711	0.00122	0.09828	0.05285	0.00471	-0.00609	-0.00928	-0.00930	0.00809	-0.08268	-0.00964	-0.05487	0.00293	-0.02476	-0.05330	-0.01638	-0.01678	0.00120	0.02470	-0.00029	-0.00299	-0.05262	0.06293	0.01627	0.00724	-0.09235	0.03446	-0.00636	-0.03120	0.04718	0.02289	0.03547	-0.00291	0.03955	-0.01198	0.02490	0.11243	0.05717	0.03073	-0.00149	0.01315	0.00189	-0.04738	0.01366	0.00272	0.03188	-0.01371	0.00579	0.02445	-0.00276	0.10291	-0.06267	-0.04568	0.06301	-0.02300	-0.00739	0.00368	(And (Member $e0 stick) (Past $e0))
p204020	-0.00655	-0.04939	0.00727	-0.05159	-0.03659	-0.00906	0.01647	0.00711	0.00122	0.09828	0.05285	0.00471	-0.00609	-0.00928	-0.00930	0.00809	-0.08268	-0.00964	-0.05487	0.00293	-0.02476	-0.05330	-0.01638	-0.01678	0.00120	0.02470	-0.00029	-0.00299	-0.05262	0.06293	0.01627	0.00724	-0.09235	0.03446	-0.00636	-0.03120	0.04718	0.02289	0.03547	-0.00291	0.03955	-0.01198	0.02490	0.11243	0.05717	0.03073	-0.00149	0.01315	0.00189	-0.04738	0.01366	0.00272	0.03188	-0.01371	0.00579	0.02445	-0.00276	0.10291	-0.06267	-0.04568	0.06301	-0.02300	-0.00739	0.00368	(And (Member $e0 stick) (Patient $e0 $x0))
p204021	-0.00473	0.05193	0.07884	0.04266	-0.02526	0.09907	-0.02391	0.25034	0.00896	0.00101	0.00353	-0.01215	0.28448	0.02223	-0.03214	0.13983	0.12788	-0.01481	0.06372	-0.07370	-0.09367	0.09182	-0.16647	-0.12524	-0.00476	-0.01062	-0.14903	-0.01164	0.00318	0.05694	0.12073	0.05926	-0.09388	-0.01125	0.26819	-0.08977	0.14193	-0.04871	-0.14011	-0.01738	-0.00840	-0.02802	-0.02401	-0.06454	-0.10395	-0.06447	0.28740	-0.03609	0.06093	-0.03421	0.06102	-0.03011	-0.11315	-0.02750	-0.01153	0.13604	-0.06011	0.01152	0.12122	0.04531	0.23348	-0.18448	-0.08049	-0.03933	(And (Member $e0 stop) (Theme $e0 $e1))
p204022	0.00019	-0.03656	0.06227	-0.00907	0.05243	-0.01057	-0.01236	0.05248	-0.01015	-0.00796	0.00294	-0.04771	-0.00210	0.00339	0.01731	0.04317	-0.02539	-0.02024	-0.00563	-0.01846	-0.01870	-0.01642	-0.01599	-0.02837	-0.00025	0.00103	0.03734	0.02557	-0.02009	-0.00560	0.01716	-0.02949	0.03020	-0.01950	-0.03373	-0.02114	0.00103	-0.01902	0.04467	0.00053	-0.00908	0.02046	-0.00186	-0.02388	-0.03093	0.00105	-0.02064	-0.00821	-0.03497	0.01956	-0.00244	0.01995	0.02534	0.00854	-0.00634	0.00055	-0.02498	-0.01623	0.00964	0.02879	-0.02757	-0.00021	-0.03047	0.04222	(And (Member $e0 talk) (Past $e0))
