pattern_id	w0	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	w12	w13	w14	w15	w16	w17	w18	w19	w20	w21	w22	w23	w24	w25	w26	w27	w28	w29	w30	w31	query
p201565	-0.01827	-0.02284	0.10981	-0.02257	-0.01917	0.03149	0.00470	-0.03612	-0.03470	-0.00181	-0.04264	-0.04860	-0.01740	-0.00870	-0.03400	0.00644	0.04206	-0.02177	-0.06007	-0.01091	-0.00316	-0.03549	0.03526	-0.05198	0.06590	0.00951	-0.00357	0.08011	0.04381	0.00844	-0.04984	-0.07289	(And (Cardinality $x0 <num>) (Past $e0) (Patient $e0 $x0))
p201567	0.05335	-0.07057	-0.10390	-0.01053	0.11064	-0.03718	0.05814	0.01299	0.04614	-0.02931	-0.03517	0.07861	0.10681	-0.03778	-0.00460	0.06220	-0.05665	0.11667	-0.01914	-0.08381	-0.02457	0.12466	0.06183	0.06250	0.12890	-0.07939	0.06961	-0.05687	-0.09072	0.03356	-0.09119	-0.05161	(And (Member $e0 start) (Patient $e1 $x0) (Theme $e0 $e1))
p201568	-0.03632	0.05789	0.00385	-0.03834	-0.00327	-0.01514	0.08696	0.03431	-0.05553	-0.05780	0.00691	0.03283	0.00216	-0.02997	-0.01483	-0.04486	0.01967	0.00710	0.01773	0.02874	0.07193	0.01526	-0.02712	-0.01952	0.01545	0.02781	0.02277	0.01623	-0.05457	0.03958	0.00884	-0.01436	(And (Member $x0 thing) (Past $e0) (Theme $e0 $x0))
p201570	0.07926	-0.03368	-0.07739	-0.02084	0.09750	-0.04621	0.06521	-0.00228	0.07018	-0.03343	-0.01150	0.03449	0.12469	-0.06266	-0.04855	0.13943	-0.03573	0.07811	-0.00308	-0.14709	-0.03695	0.13637	0.09511	0.08453	0.14210	-0.02485	0.09659	-0.11372	-0.05772	0.05742	-0.05609	0.01237	(And (Ongoing $e0) (Patient $e1 $x0) (Theme $e1 $e0))
p201653	0.01460	-0.05960	-0.00304	-0.01389	0.10006	-0.05414	0.00953	0.11652	-0.02916	0.09085	0.01494	-0.01176	-0.01603	-0.02341	-0.03392	-0.00371	0.01153	-0.11278	-0.00684	-0.02430	0.03834	0.09636	-0.02667	-0.04904	-0.00816	-0.03410	0.03552	0.08566	0.03828	0.09751	-0.05163	0.01313	(And (Holder $e0 $x0) (Member $e0 have) (Past $e0) (Theme $e0 $x1))
p201668	-0.04433	0.04877	0.07562	-0.01789	0.05759	-0.01620	-0.02306	-0.01603	-0.04181	0.00788	0.05285	-0.06576	0.08008	-0.07035	0.07082	0.04217	0.04712	0.00846	-0.06328	-0.02493	-0.06719	-0.01546	0.04258	-0.07498	0.07686	0.09591	0.06307	-0.02477	0.00384	-0.03369	0.03073	-0.02793	(And (Agent $e0 $x0) (Member $e0 come) (Past $e0))
p201669	-0.01571	0.00202	-0.02401	0.01569	-0.03903	-0.00253	-0.02021	-0.00301	0.02700	0.04155	0.03225	-0.01901	0.05639	-0.03620	0.00270	0.01929	-0.01380	0.01428	0.00006	0.00327	0.01830	-0.00235	-0.00067	0.01544	0.00161	0.02564	-0.01626	0.02505	-0.02137	-0.02687	-0.01032	-0.00311	(And (Agent $e0 $x0) (Past $e0) (Recipient $e0 $x1))
p201670	-0.00286	0.04631	-0.03870	-0.02535	-0.03598	0.07962	-0.04155	-0.01035	0.03351	-0.00851	-0.01385	-0.02981	-0.04740	-0.00123	0.13707	-0.01023	0.03945	0.00401	0.02792	-0.03406	0.07917	0.00317	0.14365	-0.03853	0.11664	-0.09189	-0.03729	0.00512	0.04307	0.03076	-0.10369	0.05063	(And (Agent $e0 $x0) (Past $e0) (Source $e0 $x1))
p201671	-0.02611	-0.00334	-0.05288	-0.04106	-0.01468	0.00794	-0.02988	-0.01402	-0.04880	0.03184	-0.02797	0.03314	0.03526	-0.05311	-0.03112	0.06365	0.01773	-0.01677	-0.02411	-0.02661	0.01218	-0.00962	-0.01824	0.00877	0.01255	0.01878	-0.00390	0.00925	-0.03214	-0.02279	0.01570	0.01341	(And (Agent $e0 $x0) (Past $e0) (Through $e0 $x1))
p201672	0.00262	-0.10400	0.00532	-0.10771	0.04854	0.02848	-0.01269	-0.00568	-0.08723	-0.03858	-0.02999	0.11475	-0.05739	-0.04140	0.06965	0.10152	0.05964	-0.04265	0.11660	-0.03998	0.02411	-0.05656	-0.06963	0.03837	-0.03559	-0.07692	-0.14303	-0.05519	-0.05098	0.00461	0.03837	-0.03328	(And (Goal $e0 $x0) (Member $e0 go) (Past $e0))
