pattern_id	w0	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	w12	w13	w14	w15	query
p200494	0.12924	0.17642	-0.06069	-0.11219	-0.00774	0.03691	-0.00064	0.26589	-0.08130	0.04375	0.10439	0.01325	0.04013	-0.04194	-0.03827	0.03414	(And (Member $x0 thing) (Theme $e0 $x0))
p200499	-0.00965	0.02877	-0.03041	0.01530	-0.00916	-0.01064	0.00822	0.03432	-0.00956	0.01890	0.02845	-0.00888	-0.01715	0.00563	0.02581	-0.00440	(Stimulus $e0 $x0)
p200517	-0.06408	0.04744	-0.12123	-0.05952	0.02131	0.29163	0.05412	-0.08547	0.45242	0.08285	-0.01682	-0.04209	-0.14858	-0.02037	0.00214	0.00655	(And (Experiencer $e0 $x0) (Past $e1) (Result $e1 $e0))
p200535	-0.07357	-0.03037	-0.17114	0.07085	-0.02123	0.08400	-0.01205	-0.02038	-0.07650	0.01440	0.00278	0.01680	0.03239	0.00586	-0.07767	0.12814	(And (Agent $e0 $x0) (Goal $e0 $x1))
p200536	0.03203	0.29905	0.18321	-0.10392	-0.07490	0.01523	-0.00715	0.19161	0.00251	0.06896	-0.05559	0.06053	0.07846	-0.13519	0.08549	0.02558	(And (Member $x0 person) (Possession $x1 $x0))
p200546	0.01050	0.05327	0.03707	-0.03307	0.05249	0.02191	-0.02507	-0.08583	-0.00393	-0.00512	-0.00989	-0.04013	-0.05243	-0.01187	-0.02576	0.00066	(Instrument $e0 $x0)
p200547	0.00358	0.02132	0.03732	-0.00107	0.01206	-0.02316	0.00386	-0.01973	0.03854	-0.00860	-0.01192	-0.01011	0.01058	0.00351	-0.02447	-0.01876	(Member $x0 room)
p200548	-0.05746	0.01452	-0.06562	0.07025	-0.01172	-0.00739	-0.01240	-0.01421	-0.03445	0.01553	-0.01309	0.01448	-0.01684	0.02993	-0.01626	0.06069	(Recipient $e0 $x0)
p200549	-0.00927	-0.04949	0.01872	-0.01857	0.00261	-0.00652	0.01603	0.01078	-0.02643	0.02318	-0.00972	-0.00262	0.03122	-0.00744	0.00042	0.02104	(SubsetOf $x0 $x1)
p200577	-0.08732	-0.11380	0.02422	0.07357	-0.06544	0.17772	-0.05368	-0.08854	-0.04663	0.01308	0.37924	-0.04285	0.17125	-0.10571	0.07019	-0.10940	(And (Agent $e0 $x0) (Location $e0 $x1) (Past $e0))
